name,x,y
's Gravenwezel,14.3064591599,-46.4260599689
's Herenelderen,80.7808009813,4.4520082573
Aaigem,-29.1175567502,-4.7648483904
Aalbeke,-79.4997502992,7.6729898841
Aalst,-21.8942972938,-10.7251826003
Aalst,60.4137202201,7.236395473
Aalter,-65.5322498767,-26.9208921217
Aarschot,33.1775088615,-15.3130975121
Aarsele,-65.7912806658,-16.7712707435
Aartrijke,-88.4298037371,-30.2512240051
Aartselaar,2.4786113724,-31.961270811
Abolens,55.998504057,19.3540776193
Abée,70.4957330316,41.2871015665
Achel,79.113874968,-47.0927677829
Achet,57.7781569994,56.7034482267
Achêne,48.7049018517,64.0202287688
Acosse,48.8952506959,27.9260934217
Acoz,12.6754088168,53.9186503822
Adegem,-60.7495494654,-39.819877745
Adinkerke,-123.6316207731,-24.8066258676
Affligem,-16.4339530403,-6.3320987246
Afsnee,-48.7031627954,-20.424438293
Agimont,31.052407497,75.2757400526
Aineffe,63.4639744999,24.7875047484
Aische-En-Refail,33.9792332156,27.450747426
Aiseau,16.5103381441,48.1619354435
Aiseau-Presles,16.3044695195,48.668399343
Aisemont,21.021998657,48.8519203698
Alken,67.0950067479,-3.2141500645
Alle,43.5691455025,110.435025724
Alleur,81.4785385968,19.1111797701
Alsemberg,-1.650671688,11.278702997
Alveringem,-114.3024946326,-18.7621170823
Amay,68.2254459453,32.8743254534
Amberloup,82.4818867893,90.0317000695
Ambly,67.5329213483,77.4689393772
Amblève,127.6143344431,54.4136254358
Ambresin,47.6269436478,24.3758878317
Amonines,84.5767624693,64.1678246868
Amougies,-59.2879116985,11.4149280241
Ampsin,65.6039782214,33.9274166319
Andenne,52.8104240235,39.4602278011
Anderlecht,-2.7613492169,0.9351325392
Anderlues,-5.7593540371,48.5061191487
Andrimont,107.9432863667,45.1269108642
Angleur,87.2607653663,25.9087517294
Angre,-46.0433787813,53.0193604401
Angreau,-46.3468283762,54.7849633777
Anhée,37.0451686479,59.197926113
Anlier,89.0154126588,118.0494058825
Anloy,61.0311787542,98.6955620072
Annevoie-Rouillon,34.3911178045,55.6453608627
Ans,81.9043222296,20.4198929866
Anseremme,39.0257929243,67.1973784329
Anseroeul,-58.3141717671,13.1538503155
Antheit,62.0338463777,32.7168088373
Anthisnes,82.1474256981,40.3900633725
Anthée,28.6755587356,67.0196238603
Antoing,-63.1726207917,31.0924036806
Antwerpen,3.3685430862,-41.7889301924
Anvaing,-55.4259981599,18.2795284655
Anzegem,-62.3010046565,0.2838286987
Appels,-20.7306558172,-20.406516165
Appelterre-Eichem,-26.9681014325,3.0486315101
Arbre,-37.6674683432,26.1812614869
Arbre,32.9009522676,53.1792895275
Arbrefontaine,104.0992009302,60.2434421754
Arc-Wattripont,-56.3207078893,13.1294101097
Archennes,22.3487364155,10.5401804972
Ardooie,-80.4827841904,-13.8205558974
Arendonk,51.5519606698,-52.9048116542
Argenteau,93.6180940179,16.7292493789
Arlon,102.4517397525,127.7439851735
Arquennes,-4.5031344808,31.2990110405
Arsimont,20.1448925122,46.3753448925
Arville,67.7033372376,89.6927720067
As,85.6328151377,-17.1389944106
Aspelare,-27.5915596045,0.4881984068
Asquillies,-27.6886845234,49.166173164
Asse,-12.0158667503,-7.4545466421
Assebroek,-76.8003533515,-38.6768111868
Assenede,-41.7384803494,-42.789598313
Assenois,77.9388780037,114.6897094411
Assent,46.4451070021,-11.1478728127
Assesse,47.1252309626,52.6412637522
Astene,-55.3490938591,-15.3571539193
Ath,-39.2216599755,22.957065062
Athis,-40.3877729329,53.2626508965
Athus,103.8442471411,140.5843738622
Attenhoven,52.5480985524,9.0138567719
Attenrode,39.6454906076,-2.5456746034
Attert,100.7189338146,120.2851172777
Attre,-35.8247259498,26.193301695
