n,x,y
1,11003.6111,42102.5
2,11108.6111,42373.8889
3,11133.3333,42885.8333
4,11155.8333,42712.5
5,11183.3333,42933.3333
6,11297.5,42853.3333
7,11310.2778,42929.4444
8,11416.6667,42983.3333
9,11423.8889,43000.2778
10,11438.3333,42057.2222
11,11461.1111,43252.7778
12,11485.5556,43187.2222
13,11503.0556,42855.2778
14,11511.3889,42106.3889
15,11522.2222,42841.9444
16,11569.4444,43136.6667
17,11583.3333,43150
18,11595,43148.0556
19,11600,43150
20,11690.5556,42686.6667
21,11715.8333,41836.1111
22,11751.1111,42814.4444
23,11770.2778,42651.9444
24,11785.2778,42884.4444
25,11822.7778,42673.6111
26,11846.9444,42660.5556
27,11963.0556,43290.5556
28,11973.0556,43026.1111
29,12058.3333,42195.5556
30,12149.4444,42477.5
31,12286.9444,43355.5556
32,12300,42433.3333
33,12355.8333,43156.3889
34,12363.3333,43189.1667
35,12372.7778,42711.3889
36,12386.6667,43334.7222
37,12421.6667,42895.5556
38,12645,42973.3333
